"","Num","AGE","GENDER","NegEmot1","NegEmot2","NegEmot3","Egal1","Egal2","Egal3","Ind1","Ind2","Ind3","GovSupport1","GovSupport2","GovSupport3"
"161",239,23,1,2,4,3,4,5,4.5,2.75,3.25,4.25,5,5,4
"162",240,23,1,5,5,5,5,5,4.8,5,5,5,5,4.33333333333333,5
"163",241,23,1,3,3,4,3.8,4,3.9,3.5,3.75,3.75,5,5.33333333333333,6
"164",242,22,1,7,7,7,5.8,7,6.6,2.5,1,1,7,5.33333333333333,2
"165",243,22,1,5,5,5,4.4,5.8,6.2,1.25,1,1.5,7,4.66666666666667,6
"166",244,22,1,7,7,7,7,7,7,1,1,1,4,5,5
"167",245,22,1,6,6,6,5.4,5,4.8,1.75,1.75,1.25,6,5,2
"168",247,22,1,3,5,4,6.2,6.4,5.8,3.75,2,2.5,6,5.66666666666667,5
"169",248,23,1,1,6,6,5.2,7,5.4,2.5,2.5,3.75,3,NA,1
"170",251,23,1,6,5,4,5.6,5.8,6.2,1,1,1.25,3,3.66666666666667,4
"171",257,22,1,6,6,6,6.6,6.2,5.7,1,1,1.75,6,6,6
"172",258,23,1,2,3,3,5,5.4,6,1.25,1,2.75,5,4,1
"173",259,23,1,7,7,7,6,6.2,6.5,1.75,2.5,1.25,6,5,3
"174",261,22,1,6,6,6,5.8,6,5.8,2.25,2.75,3,7,6,4
"175",262,23,1,4,4,4,6.6,5.8,5.1,3.5,4,4.25,7,4.66666666666667,3
"176",263,23,1,4,5,5,6.4,5.4,5.3,4,5.25,4.5,5,4.66666666666667,5
"177",265,23,1,7,7,6,6.6,6.2,5.6,2.25,4,5.25,6,6,6
"178",266,23,1,4,4,5,6.8,6.4,5.5,2.33333333333333,4,3.66666666666667,4,6,7
"179",267,23,1,4,3,5,5.2,5.4,5,3.75,4.5,3.75,7,7,7
"180",268,23,1,7,7,7,4.8,6,6.5,1.75,1,1,7,6,4
"181",269,23,1,7,6,5,6.8,7,6.6,1,1,1.5,7,7,7
"182",272,23,1,5,6,5,4.8,6,5.7,2,2,2.75,6,5,3
"183",273,23,1,7,7,7,6.2,7,6.6,1,2.5,3.25,6,4.66666666666667,1
"184",274,23,1,7,7,7,7,7,6.4,1,1,1,7,7,7
"185",275,23,1,7,7,7,5.6,7,6.7,2.5,2,3,7,7,7
"186",276,23,1,7,7,7,6.4,7,7,1,1,3.5,7,6,4
"187",277,23,1,5,6,5,3.6,5.6,5.7,2,3,2,5,5.33333333333333,4
"188",279,23,1,3,3,4,3.8,3.8,2.66666666666667,2,3,4.25,1,2.66666666666667,2
"189",280,23,1,5,6,5,5,6,5.5,6.5,4.75,6.25,7,6.66666666666667,6
"190",281,23,1,2,1,2,3.2,3.8,4.2,5.25,5,4,7,6.83333333333333,6.5
"191",282,23,1,6,7,6,5.8,6,6.4,2.5,2.5,3,6,5,3
"192",284,23,1,5,6,6,5.4,5.6,6.4,2,3.25,5.25,5,4.33333333333333,2
"193",285,23,1,4,7,7,6,6.6,6.1,3.75,2,3.5,7,6,4
"194",286,23,1,6,5,5,6.2,6.8,6.8,2,4.25,3.5,5,6.33333333333333,7
"195",290,23,1,7,7,7,6.4,6.6,6.5,1,1.75,3,6,5.33333333333333,4
"196",291,22,1,6,7,7,4.33333333333333,7,5.3,2,2.5,2.5,5,5.33333333333333,4
"197",292,22,1,6,6,5,5.4,4.8,5.6,2.25,2.25,3.25,6,5.33333333333333,4
"198",293,22,1,7,6,6,5.2,4.8,5.5,2.5,3.5,5,7,7,7
"199",294,22,1,4,6,6,5.6,5.8,5.9,2,2.5,3.5,5,5,4
"200",295,22,1,5,7,5,5,5.8,5.9,2,3.25,2.25,4,4.33333333333333,3
